Name,Color,In,Out
DELETE: 8 sec - Outro fluff,Red,01:31:39:10,01:31:47:14
DELETE: 5 sec - Transition,Red,01:31:27:03,01:31:32:03
DELETE: 13 sec - Perplexity usage detail,Red,01:31:14:06,01:31:27:03
DELETE: 23 sec - Comment section appeal,Red,01:30:51:03,01:31:14:06
DELETE: 11 sec - Filler,Red,01:30:40:03,01:30:51:03
DELETE: 3 sec - Pause,Red,01:30:18:05,01:30:21:19
DELETE: 7 sec - Building in public mention,Red,01:30:11:13,01:30:18:05
DELETE: 7 sec - Transition,Red,01:30:04:21,01:30:11:13
DELETE: 5 sec - Pause,Red,01:29:51:21,01:29:56:26
DELETE: 5 sec - Pause,Red,01:29:40:15,01:29:45:04
DELETE: 7 sec - Courses mention,Red,01:29:19:19,01:29:26:08
DELETE: 8 sec - Building courses,Red,01:29:11:26,01:29:19:19
DELETE: 4 sec - Subscribe CTA,Red,01:29:07:23,01:29:11:26
DELETE: 7 sec - Pause,Red,01:29:01:03,01:29:07:23
DELETE: 3 sec - Pause,Red,01:28:42:26,01:28:45:28
DELETE: 2 sec - Pause,Red,01:28:29:26,01:28:32:07
DELETE: 4 sec - Use both together,Red,01:28:25:11,01:28:29:26
DELETE: 4 sec - Pause,Red,01:28:21:09,01:28:25:11
DELETE: 8 sec - Pause,Red,01:28:03:21,01:28:11:08
DELETE: 6 sec - Pause,Red,01:27:51:11,01:27:56:29
DELETE: 8 sec - Pause,Red,01:27:25:14,01:27:33:07
DELETE: 5 sec - High energy needed,Red,01:27:09:28,01:27:14:16
DELETE: 1 sec - Pause,Red,01:26:53:08,01:26:54:09
DELETE: 10 sec - Unknown/known philosophy,Red,01:26:29:08,01:26:39:09
DELETE: 6 sec - Unknown/known both good,Red,01:26:14:08,01:26:20:17
DELETE: 5 sec - Pause,Red,01:26:09:04,01:26:14:08
DELETE: 10 sec - Pause,Red,01:25:44:23,01:25:54:03
DELETE: 1 sec - Pause,Red,01:25:37:08,01:25:38:09
DELETE: 5 sec - Changing with AI,Red,01:25:16:11,01:25:21:25
DELETE: 5 sec - Pause,Red,01:25:11:11,01:25:16:11
DELETE: 3 sec - AI wave coming,Red,01:25:08:01,01:25:11:11
DELETE: 4 sec - Pause,Red,01:24:45:11,01:24:49:17
DELETE: 24 sec - Value prop details,Red,01:24:21:19,01:24:45:11
DELETE: 4 sec - Medium is message,Red,01:24:17:11,01:24:21:19
DELETE: 9 sec - YouTube wider market,Red,01:24:08:29,01:24:17:11
DELETE: 4 sec - Confusing markets admission,Red,01:23:49:29,01:23:53:28
DELETE: 19 sec - Multiple markets confusion,Red,01:23:30:20,01:23:49:29
DELETE: 4 sec - Git repo share mention,Red,01:23:26:14,01:23:30:20
DELETE: 5 sec - Pause,Red,01:23:02:00,01:23:06:26
DELETE: 5 sec - Testing thumbnails,Red,01:22:56:20,01:23:02:00
DELETE: 3 sec - Pause,Red,01:22:33:02,01:22:36:13
DELETE: 20 sec - Course building details,Red,01:22:13:14,01:22:33:02
DELETE: 1 sec - Pause,Red,01:21:59:28,01:22:00:18
DELETE: 4 sec - Pause,Red,01:21:56:08,01:21:59:28
DELETE: 4 sec - Pause/silence,Red,01:21:42:23,01:21:46:29
DELETE: 8 sec - Tasks detail,Red,01:21:34:22,01:21:42:23
DELETE: 7 sec - Pause,Red,01:21:18:04,01:21:24:28
DELETE: 6 sec - Pause,Red,01:21:02:00,01:21:07:29
DELETE: 15 sec - Long silence,Red,01:20:37:08,01:20:52:11
DELETE: 29 sec - Repetitive strategy,Red,01:20:08:17,01:20:37:08
DELETE: 12 sec - Pause,Red,01:19:56:08,01:20:08:17
DELETE: 15 sec - Uber/government detail,Red,01:19:29:23,01:19:44:23
DELETE: 21 sec - Cash cow contracts detail,Red,01:19:08:10,01:19:29:23
DELETE: 5 sec - Pause,Red,01:18:52:27,01:18:58:09
DELETE: 3 sec - Pause,Red,01:18:38:03,01:18:40:26
DELETE: 5 sec - Big team not needed,Red,01:18:33:00,01:18:38:03
DELETE: 2 sec - Pause,Red,01:18:17:12,01:18:19:27
DELETE: 11 sec - Unconscious feedback detail,Red,01:18:06:06,01:18:17:12
DELETE: 7 sec - Silence,Red,01:17:59:03,01:18:06:06
DELETE: 14 sec - Delivery pilot detail,Red,01:17:45:12,01:17:59:03
DELETE: 6 sec - Pause,Red,01:17:23:28,01:17:30:09
DELETE: 19 sec - Unknown/known Hawkins,Red,01:17:04:17,01:17:23:28
DELETE: 7 sec - Silence,Red,01:16:57:04,01:17:04:17
DELETE: 17 sec - Silence,Red,01:16:25:04,01:16:42:16
DELETE: 14 sec - Internal team feedback detail,Red,01:16:11:06,01:16:25:04
DELETE: 11 sec - Constructive feedback detail,Red,01:15:48:28,01:15:59:22
DELETE: 20 sec - Real feedback question,Red,01:15:29:03,01:15:48:28
DELETE: 5 sec - Learning from it pause,Red,01:15:24:18,01:15:29:03
DELETE: 7 sec - Leverage point,Red,01:15:07:11,01:15:14:03
DELETE: 19 sec - David Hawkins low energy,Red,01:14:48:16,01:15:07:11
DELETE: 9 sec - Book mention,Red,01:14:39:14,01:14:48:16
DELETE: 5 sec - Pause,Red,01:14:34:00,01:14:39:14
DELETE: 4 sec - Pause,Red,01:14:15:25,01:14:19:26
DELETE: 18 sec - Strategic direction i-t-m-x,Red,01:13:58:07,01:14:15:25
DELETE: 9 sec - Lacan jouissance,Red,01:13:49:14,01:13:58:07
DELETE: 5 sec - Connecting dots detail,Red,01:13:44:05,01:13:49:14
DELETE: 11 sec - Pause,Red,01:13:25:14,01:13:36:12
DELETE: 5 sec - Pause,Red,01:13:08:23,01:13:14:08
DELETE: 11 sec - Git repos symbols detail,Red,01:12:57:25,01:13:08:23
DELETE: 11 sec - Silence,Red,01:12:46:16,01:12:57:25
DELETE: 11 sec - Pause,Red,01:12:17:10,01:12:27:28
DELETE: 10 sec - DaVinci AI features detail,Red,01:12:06:29,01:12:17:10
DELETE: 13 sec - Stress detail,Red,01:11:45:25,01:11:59:00
DELETE: 17 sec - Stopped AI work, pivoting detail,Red,01:11:28:14,01:11:45:25
DELETE: 5 sec - Pause,Red,01:11:22:27,01:11:28:14
DELETE: 10 sec - Different markets structure,Red,01:11:13:09,01:11:22:27
DELETE: 4 sec - Changing script detail,Red,01:11:08:24,01:11:13:09
DELETE: 2 sec - Pause,Red,01:10:54:05,01:10:56:22
DELETE: 4 sec - Pause,Red,01:10:41:27,01:10:46:02
DELETE: 6 sec - Pause,Red,01:10:24:20,01:10:30:01
DELETE: 5 sec - Pause,Red,01:10:09:03,01:10:14:14
DELETE: 19 sec - AI for repetitive intro,Red,01:09:38:06,01:09:57:02
DELETE: 5 sec - Pause,Red,01:09:33:04,01:09:38:06
DELETE: 8 sec - Changing direction detail,Red,01:09:25:03,01:09:33:04
DELETE: 21 sec - Irrational admission loop,Red,01:09:03:26,01:09:25:03
DELETE: 6 sec - Pause,Red,01:08:57:10,01:09:03:26
DELETE: 9 sec - System intro,Red,01:08:48:13,01:08:57:10
DELETE: 30 sec - Long silence,Red,01:08:18:12,01:08:48:13
DELETE: 4 sec - Pause,Red,01:08:14:19,01:08:18:12
DELETE: 6 sec - Pause,Red,01:08:03:17,01:08:09:16
DELETE: 8 sec - Unhappy detail,Red,01:07:55:08,01:08:03:17
DELETE: 8 sec - Defeated, no consistency,Red,01:07:47:14,01:07:55:08
DELETE: 11 sec - Pause,Red,01:07:36:14,01:07:47:14
DELETE: 9 sec - Overwhelmed rough cuts,Red,01:07:20:04,01:07:29:05
DELETE: 5 sec - Pause,Red,01:07:15:19,01:07:20:04
DELETE: 3 sec - Pause,Red,01:07:03:27,01:07:07:05
DELETE: 3 sec - Pivot mindset,Red,01:06:50:17,01:06:54:05
DELETE: 6 sec - Didn't pivot fast,Red,01:06:44:26,01:06:50:17
DELETE: 6 sec - Pause,Red,01:06:39:02,01:06:44:26
DELETE: 7 sec - Employee mindset,Red,01:06:31:16,01:06:39:02
DELETE: 18 sec - M skilled repetition,Red,01:06:13:28,01:06:31:16
DELETE: 6 sec - Pause,Red,01:06:08:02,01:06:13:28
DELETE: 3 sec - Pause,Red,01:05:58:03,01:06:01:20
DELETE: 17 sec - Tools detail,Red,01:05:40:22,01:05:58:03
DELETE: 3 sec - Pause,Red,01:05:37:07,01:05:40:22
DELETE: 9 sec - AI context,Red,01:05:28:00,01:05:37:07
DELETE: 9 sec - Pause,Red,01:05:10:28,01:05:19:28
DELETE: 12 sec - Mentor advice detail,Red,01:04:58:28,01:05:10:28
DELETE: 5 sec - Pause,Red,01:04:43:25,01:04:48:22
DELETE: 13 sec - Task switching,Red,01:04:23:14,01:04:36:09
DELETE: 4 sec - Pause,Red,01:04:14:10,01:04:18:03
DELETE: 13 sec - Backend automation context,Red,01:04:01:14,01:04:14:10
DELETE: 1 sec - Pause,Red,01:04:00:13,01:04:01:14
DELETE: 15 sec - Video production phase detail,Red,01:03:36:14,01:03:51:28
DELETE: 1 sec - Pause,Red,01:03:35:13,01:03:36:14
OTHER_MARKER
DELETE: 10 sec - Unable to make work,Red,01:03:25:13,01:03:35:13
DELETE: 7 sec - Pause,Red,01:03:13:14,01:03:20:06
DELETE: 18 sec - Optimism detail,Red,01:02:55:20,01:03:13:14
DELETE: 2 sec - Pause,Red,01:02:53:06,01:02:55:20
OTHER_MARKER
DELETE: 8 sec - Ready to spend,Red,01:02:45:19,01:02:53:06
DELETE: 22 sec - Silence,Red,01:02:16:08,01:02:38:23
DELETE: 4 sec - Transition,Red,01:02:12:04,01:02:16:08
DELETE: 38 sec - Long silence + automation mention,Red,01:01:34:18,01:02:12:04
DELETE: 3 sec - Pause,Red,01:01:25:13,01:01:28:22
DELETE: 4 sec - Pause,Red,01:01:16:00,01:01:20:00
DELETE: 15 sec - Silence,Red,01:01:01:00,01:01:16:00
DELETE: 2 sec - Silence,Red,01:00:53:20,01:00:55:04
DELETE: 12 sec - Today intro silence,Red,01:00:42:01,01:00:53:20
DELETE: 3 sec - Pause,Red,01:00:38:22,01:00:42:01
